strategy,trial_id,p_ema_period,p_pullback_lookback_bars,p_proximity_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
intraday_pullback,103,35,7,0.7000000000000001,180,2.25,-1.75,-1.3120653337472137,-0.8302846743291996,-0.6676819642318629,0.716864841106584,0.4259397933203535,6677,-0.6508287086077311,-1.578291173672811,-1.6204558555931856,-0.6327284981792496,0.4500848627745286,0.3437830221909123,2839,-0.6299631210653198,,1419.5,2,False,False,,False,2,False
intraday_pullback,104,30,4,0.4,120,1.75,-1.5,-1.1543295114046257,-1.364118821786532,-0.84482176788288,0.5699952325740892,0.4273481402194273,7474,-0.8448217678828799,-1.36943582104714,-2.1031216212894592,-0.7301001780195987,0.3650524079329268,0.3535042735042735,2925,-0.7287636714114218,,1462.5,3,False,False,,False,3,False
intraday_pullback,105,35,5,0.6000000000000001,90,2.5,-1.5,-1.2715205743589104,-0.910210278875594,-0.724411691797474,0.6517455423590202,0.3700035373187124,5654,-0.7219328414476187,-1.6835397563184746,-1.4275948230735005,-0.5921969370404783,0.45814814140719,0.2931839402427638,2142,-0.583277276558988,,1071.0,2,False,False,,False,2,False
intraday_pullback,106,20,11,1.4,240,1.0,-2.25,-1.1445344032639992,-1.637425922444849,-0.8546878791050998,0.5197730870212757,0.6296975252062328,9819,-0.8546426060747413,-1.417543514460076,-2.006095877051836,-0.70522987296861,0.3724580924777927,0.5642565457602691,4163,-0.7048368610549216,,2081.5,3,False,False,,False,3,False
intraday_pullback,107,40,9,1.2000000000000002,330,3.75,-3.0,-0.1050431881259444,-0.0074460399227445,-0.2259363725108982,1.0018729472736774,0.4887983706720977,3437,-0.0120319660272913,-2.2952822391191825,-0.6788381341583097,-0.4177393289157959,0.6449702409318425,0.3832951945080091,1748,-0.3818581774182952,,874.0,3,False,False,,False,3,False
intraday_pullback,108,40,15,1.2000000000000002,270,1.0,-1.75,-1.0896185724356977,-1.978425644049916,-0.910033913882145,0.473242631665568,0.5633420896534193,11801,-0.9100156760680542,-1.2854205464518589,-2.5982126544780977,-0.7779193812300955,0.340747958701579,0.5015631105900743,5118,-0.7778735203710612,,2559.0,3,False,False,,False,3,False
intraday_pullback,109,20,15,1.2000000000000002,240,3.0,-1.0,-1.1459341935264813,-1.4880721066021232,-0.8529572276395238,0.5830686474601775,0.2372740494494078,9626,-0.852019493865169,-1.3662994537534965,-2.149330998093621,-0.7317819600529295,0.3974732113810313,0.1864216894465606,4463,-0.7306636897849541,,2231.5,2,False,False,,False,2,False
intraday_pullback,110,40,12,0.7000000000000001,270,1.75,-2.0,-1.2719987072912886,-1.0629445320324868,-0.7242282106375468,0.6598335192031779,0.5038937827141581,7833,-0.7221335867558474,-1.5098539095716408,-1.6274955507592552,-0.6617753416330523,0.4356542063364945,0.4247404844290657,3468,-0.6577877782586674,,1734.0,3,False,False,,False,3,False
intraday_pullback,111,25,10,0.0,240,2.25,-1.5,-1.2193338439650805,-1.2347245823118915,-0.7781899237232239,0.6318986695032613,0.374747834341996,8427,-0.7765401926181362,-1.397292988057152,-2.0344991752468937,-0.7154952014615541,0.4009598257363885,0.311284046692607,3855,-0.714815215553353,,1927.5,2,False,False,,False,2,False
intraday_pullback,112,35,5,1.4,120,3.25,-1.0,-1.1744852356454925,-1.2157944824918812,-0.8242395321424218,0.5997357336801971,0.2318454363757495,7505,-0.8237002365502458,-1.4078936022679784,-1.8479614735393084,-0.7100641244027593,0.4169645224412907,0.1788699431628218,2991,-0.7049395632179287,,1495.5,2,False,False,,False,2,False
