======================================================================
일봉 필터 옵션별 시뮬레이션 비교
======================================================================

======================================================================
필터 옵션: none
======================================================================
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [347850] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [322000] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [010120] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [487240] 일봉 DuckDB에서 로드 (665개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [103590] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [307950] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [058610] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [317830] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [466100] 일봉 DuckDB에서 로드 (1888개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [322000] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [215100] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [078590] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [199430] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [090710] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [277810] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [006340] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [088800] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [353200] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [114190] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [187790] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:46 | utils.data_cache | DEBUG | [053950] 일봉 DuckDB에서 로드 (100개)
